epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6534,1.53292,5.33268,1.12015,0.748,0.47705,0.5453,0.40451,1.06862,2.51244,0.88229,0.0001875,0.0001875,0.0001875
2,31.6451,1.30627,2.06614,1.03579,0.64044,0.77526,0.76359,0.50061,1.19991,2.03522,0.97842,0.000381106,0.000381106,0.000381106
3,36.7595,1.20686,1.46135,1.03766,0.64006,0.7175,0.66317,0.39139,1.41955,1.17517,1.12984,0.000568112,0.000568112,0.000568112
4,42.4891,1.14359,1.31058,0.94073,0.81799,0.86318,0.85844,0.52403,1.3364,1.01254,1.05081,0.000748519,0.000748519,0.000748519
5,47.7624,1.1267,1.05897,0.92981,0.85239,0.83877,0.8368,0.52418,1.28199,1.36569,1.0162,0.000922325,0.000922325,0.000922325
6,53.334,1.21422,1.00343,1.01677,0.75119,0.71948,0.76375,0.48665,1.26296,1.20397,1.0193,0.00108953,0.00108953,0.00108953
7,58.9657,1.16867,0.85577,0.98029,0.66687,0.75726,0.67128,0.45307,1.23243,1.99598,0.98381,0.00112625,0.00112625,0.00112625
8,63.9533,1.21807,0.81242,1.02971,0.58974,0.69444,0.66177,0.42355,1.25522,1.94077,1.02724,0.00110563,0.00110563,0.00110563
9,69.7614,1.14277,0.8014,1.02883,0.60161,0.59722,0.55662,0.36678,1.1821,2.4346,1.05188,0.001085,0.001085,0.001085
10,74.82,1.26905,0.8303,1.04544,0.85242,0.86051,0.8374,0.54205,1.13235,0.99025,0.98097,0.00106437,0.00106437,0.00106437
11,80.4548,1.1106,0.74458,0.96967,0.83131,0.86458,0.83923,0.53976,1.18262,0.92292,0.95936,0.00104375,0.00104375,0.00104375
12,86.0052,1.15103,0.85067,1.02864,0.82134,0.82108,0.89002,0.57222,1.20509,0.91479,0.98785,0.00102312,0.00102312,0.00102312
13,91.0746,1.16793,0.78268,1.01784,0.9206,0.75805,0.92535,0.61804,1.17951,0.96083,0.97921,0.0010025,0.0010025,0.0010025
14,96.9345,1.02347,0.70687,0.92547,0.72823,0.87847,0.83706,0.55341,1.12993,0.93551,0.95299,0.000981875,0.000981875,0.000981875
15,101.926,1.1265,0.74477,0.98503,0.86622,0.85223,0.89406,0.62966,1.07901,0.87518,0.94266,0.00096125,0.00096125,0.00096125
16,107.682,1.03758,0.68519,0.9311,0.82246,0.83453,0.85197,0.57169,1.19573,0.92598,0.98448,0.000940625,0.000940625,0.000940625
17,113.03,1.12463,0.69863,0.96835,0.75101,0.83537,0.83805,0.55449,1.1645,1.00938,0.99817,0.00092,0.00092,0.00092
18,118.073,1.02108,0.66868,0.90824,0.80327,0.92022,0.87438,0.57342,1.17797,0.9043,1.0178,0.000899375,0.000899375,0.000899375
19,123.827,1.08502,0.65427,0.96778,0.76682,0.89687,0.86073,0.55272,1.17874,0.84346,0.9855,0.00087875,0.00087875,0.00087875
20,128.809,1.0494,0.67479,0.97748,0.73716,0.83283,0.82502,0.54961,1.16788,0.88138,0.98156,0.000858125,0.000858125,0.000858125
21,134.602,1.01119,0.62342,0.91172,0.72018,0.90103,0.84629,0.5513,1.19439,0.87034,1.00215,0.0008375,0.0008375,0.0008375
22,139.556,0.97068,0.65835,0.91415,0.85801,0.87848,0.89319,0.60285,1.10167,0.78884,0.97053,0.000816875,0.000816875,0.000816875
23,144.772,1.07247,0.63529,0.96455,0.8465,0.87707,0.87698,0.55292,1.23453,0.81877,1.07132,0.00079625,0.00079625,0.00079625
24,150.349,1.05442,0.64869,0.97309,0.83232,0.84722,0.85191,0.57007,1.13713,0.82342,1.02321,0.000775625,0.000775625,0.000775625
25,155.433,1.01402,0.62109,0.93847,0.85764,0.8481,0.86995,0.59485,1.15804,0.81425,1.01986,0.000755,0.000755,0.000755
26,161.165,1.03156,0.59954,0.94356,0.70891,0.85417,0.77242,0.53328,1.1331,0.78684,0.98804,0.000734375,0.000734375,0.000734375
27,166.208,1.01952,0.62013,0.93633,0.74263,0.84028,0.81169,0.58162,1.05418,0.81974,0.98195,0.00071375,0.00071375,0.00071375
28,171.618,1.02988,0.59183,0.94446,0.8478,0.86492,0.85541,0.58774,1.10888,0.82226,0.99412,0.000693125,0.000693125,0.000693125
29,177.074,1.00997,0.59856,0.95763,0.84638,0.86405,0.84941,0.59085,1.0999,0.77092,0.96796,0.0006725,0.0006725,0.0006725
30,182.127,0.97348,0.60134,0.9438,0.85207,0.83989,0.89282,0.57646,1.09096,0.78847,0.95998,0.000651875,0.000651875,0.000651875
31,187.981,0.98542,0.55044,0.94319,0.84337,0.80394,0.89318,0.53178,1.19101,0.92623,1.02522,0.00063125,0.00063125,0.00063125
32,192.901,0.95422,0.56756,0.88939,0.81521,0.73332,0.71717,0.48606,1.20523,0.911,1.02151,0.000610625,0.000610625,0.000610625
33,198.65,0.98072,0.57307,0.94947,0.81805,0.84076,0.85711,0.55596,1.17936,0.80845,0.96926,0.00059,0.00059,0.00059
34,203.911,0.94521,0.56381,0.9386,0.8334,0.84961,0.88094,0.59382,1.13369,0.76969,0.95074,0.000569375,0.000569375,0.000569375
35,208.943,0.94417,0.559,0.93297,0.82471,0.83681,0.87343,0.56959,1.07162,0.83959,0.90981,0.00054875,0.00054875,0.00054875
36,214.621,0.88965,0.55513,0.88181,0.81097,0.86904,0.88985,0.54826,1.08541,1.08405,0.91602,0.000528125,0.000528125,0.000528125
37,219.671,0.9465,0.58608,0.9326,0.75352,0.91292,0.91054,0.60266,1.04224,0.85121,0.91381,0.0005075,0.0005075,0.0005075
38,225.477,0.88665,0.56489,0.86532,0.80648,0.92589,0.89537,0.60069,1.07938,0.7636,0.96921,0.000486875,0.000486875,0.000486875
39,231.352,0.95478,0.54318,0.92336,0.86409,0.83439,0.86213,0.59146,1.08206,0.78646,0.96645,0.00046625,0.00046625,0.00046625
40,236.768,0.89269,0.52779,0.92602,0.88091,0.82177,0.82733,0.57953,1.03956,0.7766,0.93359,0.000445625,0.000445625,0.000445625
41,242.256,0.85793,0.52131,0.85914,0.83096,0.88564,0.87389,0.60692,1.0427,0.75829,0.93259,0.000425,0.000425,0.000425
42,247.262,0.92983,0.50789,0.91798,0.8658,0.8577,0.8662,0.63203,1.02132,0.78907,0.91978,0.000404375,0.000404375,0.000404375
43,253.064,0.90804,0.52913,0.91067,0.77124,0.90625,0.82991,0.58746,1.04821,0.73417,0.92534,0.00038375,0.00038375,0.00038375
44,258.071,0.88011,0.4934,0.90354,0.86927,0.85217,0.85418,0.5722,1.03053,0.73087,0.9253,0.000363125,0.000363125,0.000363125
45,263.785,0.91453,0.50606,0.92025,0.86873,0.85324,0.85893,0.60135,1.00569,0.68222,0.93639,0.0003425,0.0003425,0.0003425
46,269.093,0.95237,0.53838,0.97258,0.81975,0.9375,0.85836,0.60093,1.07898,0.69595,0.96131,0.000321875,0.000321875,0.000321875
47,274.065,0.9138,0.50166,0.91137,0.81681,0.9375,0.85548,0.59699,1.08277,0.68593,0.95327,0.00030125,0.00030125,0.00030125
48,279.848,0.91002,0.48891,0.89771,0.80786,0.9375,0.85603,0.57322,1.07609,0.70268,0.94022,0.000280625,0.000280625,0.000280625
49,284.798,0.84982,0.49417,0.90545,0.78902,0.93259,0.86521,0.58974,1.05715,0.67265,0.93714,0.00026,0.00026,0.00026
50,290.502,0.86078,0.49536,0.90115,0.82117,0.86823,0.8945,0.59298,1.04481,0.6715,0.94581,0.000239375,0.000239375,0.000239375
51,297.57,0.9,0.52655,0.97037,0.84356,0.85668,0.90117,0.61768,1.04994,0.72274,0.95765,0.00021875,0.00021875,0.00021875
52,303.333,0.86312,0.47365,0.89402,0.85214,0.8793,0.87559,0.6108,1.04368,0.71567,0.95416,0.000198125,0.000198125,0.000198125
53,308.258,0.82811,0.47593,0.88459,0.8532,0.88453,0.86172,0.61411,1.01428,0.69222,0.94039,0.0001775,0.0001775,0.0001775
